Date,Close
2017/4/1 0:00,1090
2017/4/2 0:00,1099
2017/4/3 0:00,1148
2017/4/4 0:00,1144
2017/4/5 0:00,1135
2017/4/6 0:00,1191
2017/4/7 0:00,1193
2017/4/8 0:00,1185
2017/4/9 0:00,1210
2017/4/10 0:00,1213
2017/4/11 0:00,1225
2017/4/12 0:00,1217
2017/4/13 0:00,1179
2017/4/14 0:00,1183
2017/4/15 0:00,1181
2017/4/16 0:00,1185
2017/4/17 0:00,1204
2017/4/18 0:00,1218
2017/4/19 0:00,1227
2017/4/20 0:00,1255
2017/4/21 0:00,1257
2017/4/22 0:00,1244
2017/4/23 0:00,1248
2017/4/24 0:00,1248
2017/4/25 0:00,1264
2017/4/26 0:00,1285
2017/4/27 0:00,1329
2017/4/28 0:00,1320
2017/4/29 0:00,1327
2017/4/30 0:00,1348
2017/5/1 0:00,1402
2017/5/2 0:00,1444
2017/5/3 0:00,1492
2017/5/4 0:00,1516
2017/5/5 0:00,1512
2017/5/6 0:00,1548
2017/5/7 0:00,1555
2017/5/8 0:00,1639
2017/5/9 0:00,1707
2017/5/10 0:00,1757
2017/5/11 0:00,1807
2017/5/12 0:00,1677
2017/5/13 0:00,1760
2017/5/14 0:00,1772
2017/5/15 0:00,1697
2017/5/16 0:00,1718
2017/5/17 0:00,1802
2017/5/18 0:00,1887
2017/5/19 0:00,1968
2017/5/20 0:00,2052
2017/5/21 0:00,2056
2017/5/22 0:00,2139
2017/5/23 0:00,2291
2017/5/24 0:00,2476
2017/5/25 0:00,2358
2017/5/26 0:00,2247
2017/5/27 0:00,2106
2017/5/28 0:00,2208
2017/5/29 0:00,2290
2017/5/30 0:00,2197
2017/5/31 0:00,2330
2017/6/1 0:00,2452
2017/6/2 0:00,2517
2017/6/3 0:00,2556
2017/6/4 0:00,2553
2017/6/5 0:00,2737
2017/6/6 0:00,2914
2017/6/7 0:00,2694
2017/6/8 0:00,2825
2017/6/9 0:00,2827
2017/6/10 0:00,2942
2017/6/11 0:00,3019
2017/6/12 0:00,2683
2017/6/13 0:00,2739
2017/6/14 0:00,2494
2017/6/15 0:00,2457
2017/6/16 0:00,2528
2017/6/17 0:00,2664
2017/6/18 0:00,2576
2017/6/19 0:00,2642
2017/6/20 0:00,2779
2017/6/21 0:00,2712
2017/6/22 0:00,2741
2017/6/23 0:00,2738
2017/6/24 0:00,2619
2017/6/25 0:00,2594
2017/6/26 0:00,2485
2017/6/27 0:00,2593
2017/6/28 0:00,2585
2017/6/29 0:00,2562
2017/6/30 0:00,2500
2017/7/1 0:00,2460
